---------------------------------------------------------------
Name                                      Type             Value
et.FS_READ                                string           0
et.CS_ROUNDSCORES1                        string           23
et.MOD_LAVA                               string           29
et.MOD_LANDMINE                           string           41
et.MOD_M7                                 string           40
et.WP_FLAMETHROWER                        string           6
et.MOD_KAR98                              string           38
et.MAX_CSSTRINGS                          string           32
et.WP_MORTAR2                             string           51
et.WP_FG42                                string           32
et.MOD_GRENADE_LAUNCHER                   string           16
et.WP_SILENCER                            string           14
et.CS_MOTD                                string           4
et.MOD_CRUSH                              string           30
et.SAY_BUDDY                              string           2
et.MOD_ARTY                               string           26
et.WP_THOMPSON                            string           8
et.WP_M7                                  string           38
et.CS_SHADERS                             string           576
et.MOD_AIRSTRIKE                          string           23
et.MAX_CHARACTERS                         string           16
et.MOD_DYNAMITE                           string           22
et.MOD_KICKED                             string           21
et.MOD_MAPMORTAR                          string           19
et.WP_MOBILE_BROWNING_SET                 string           50
et.CS_WOLFINFO                            string           21
et.MOD_FLAMETHROWER                       string           17
et.MOD_PANZERFAUST                        string           15
et.MOD_TRIGGER_HURT                       string           35
et.MOD_FG42SCOPE                          string           14
et.MOD_FG42                               string           13
et.WP_CARBINE                             string           24
et.WP_SMOKETRAIL                          string           16
et.CS_WARMUP                              string           5
et.CS_VOTE_TIME                           string           6
et.MOD_BROWNING                           string           2
et.WP_BAZOOKA                             string           53
et.MOD_CARBINE                            string           37
et.CS_SOUNDS                              string           320
et.WP_MOBILE_MG42_SET                     string           47
et.WP_COLT                                string           7
et.MOD_FALLING                            string           32
et.WP_GARAND_SCOPE                        string           40
et.CS_SYSTEMINFO                          string           1
et.SAY_ALL                                string           0
et.WP_AKIMBO_COLT                         string           35
et.CS_PLAYERS                             string           689
et.WP_AKIMBO_SILENCEDLUGER                string           46
et.WP_K43                                 string           31
et.CS_SERVERTOGGLES                       string           32
et.WP_GARAND                              string           25
et.CS_CONSTRUCTION_NAMES                  string           29
et.MOD_SILENCER                           string           12
et.CS_VERSIONINFO                         string           30
et.WP_KAR98                               string           23
et.VERYBIGEXPLOSION                       string           18
et.CS_TARGETEFFECT                        string           20
et.MAX_TAG_FILES                          string           64
et.MAX_CS_SKINS                           string           64
et.CS_SHADERSTATE                         string           608
et.CS_MULTI_SPAWNTARGETS                  string           753
et.FS_APPEND_SYNC                         string           3
et.MAX_SERVER_TAGS                        string           256
et.CS_OID_DATA                            string           787
et.CS_INTERMISSION_START_TIME             string           36
et.ConcatArgs                             function         N/A
et.trap_LinkEntity                        function         N/A
et.G_ModelIndex                           function         N/A
et.trap_SendConsoleCommand                function         N/A
et.trap_GetUserinfo                       function         N/A
et.ClientUserinfoChanged                  function         N/A
et.G_XP_Set                               function         N/A
et.trap_FS_Rename                         function         N/A
et.G_SoundIndex                           function         N/A
et.trap_FS_FOpenFile                      function         N/A
et.G_FreeEntity                           function         N/A
et.G_Print                                function         N/A
et.trap_Argc                              function         N/A
et.Info_RemoveKey                         function         N/A
et.G_ResetXP                              function         N/A
et.G_AddSkillPoints                       function         N/A
et.G_AddEvent                             function         N/A
et.FindSelf                               function         N/A
et.trap_FS_FCloseFile                     function         N/A
et.trap_DropClient                        function         N/A
et.G_EntitiesFree                         function         N/A
et.trap_SetUserinfo                       function         N/A
et.G_TempEntity                           function         N/A
et.G_ClientSound                          function         N/A
et.isBitSet                               function         N/A
et.G_SetSpawnVar                          function         N/A
et.G_Say                                  function         N/A
et.G_GetSpawnVar                          function         N/A
et.G_LogPrint                             function         N/A
et.trap_SetConfigstring                   function         N/A
et.ClientNumberFromString                 function         N/A
et.trap_Cvar_Get                          function         N/A
et.G_Damage                               function         N/A
et.trap_Cvar_Set                          function         N/A
et.MutePlayer                             function         N/A
et.G_globalSound                          function         N/A
et.trap_FS_Read                           function         N/A
et.IPCSend                                function         N/A
et.Info_SetValueForKey                    function         N/A
et.trap_SendServerCommand                 function         N/A
et.trap_FS_Write                          function         N/A
et.Q_CleanStr                             function         N/A
et.trap_Argv                              function         N/A
et.RegisterModname                        function         N/A
et.G_Sound                                function         N/A
et.trap_GetConfigstring                   function         N/A
et.Info_ValueForKey                       function         N/A
et.gentity_set                            function         N/A
et.trap_Milliseconds                      function         N/A
et.FindMod                                function         N/A
et.trap_FS_GetFileList                    function         N/A
et.G_Spawn                                function         N/A
et.UnmutePlayer                           function         N/A
et.G_LoseSkillPoints                      function         N/A
et.gentity_get                            function         N/A
et.trap_UnlinkEntity                      function         N/A
LUA_DIRSEP                                global string    /
_VERSION                                  global string    Lua 5.2
LUA_CPATH                                 global string    ./legacy/lualibs/?.so;/root/.etlegacy/legacy/lualibs/?.so
LUA_PATH                                  global string    ./legacy/?.lua;./legacy/lualibs/?.lua;/root/.etlegacy/legacy/?.lua;/root/.etlegacy/legacy/lualibs/?.lua
